"AD","ED","Harris","Trump"
49,7,140,256
49,8,182,209
49,9,191,197
49,10,158,181
49,11,170,215
49,12,170,211
49,13,32,26
49,14,98,124
49,15,163,267
49,16,243,292
49,17,337,472
49,18,258,340
49,19,160,188
49,20,69,201
49,21,106,282
49,22,132,241
49,23,191,270
49,24,216,374
49,25,245,381
49,26,232,380
49,27,241,408
49,28,177,310
49,29,149,265
49,30,276,332
49,31,273,437
49,32,288,504
49,33,261,471
49,34,179,199
49,35,262,433
49,36,204,417
49,37,271,506
49,38,181,257
49,39,329,474
49,40,244,430
49,41,325,541
49,42,187,270
49,43,191,292
49,44,94,135
49,45,119,102
49,46,6,4
49,47,171,248
49,48,28,81
49,49,61,96
